,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2024-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,GUJARAT,SABARKANTHA,,919,0,0,919,407378,0,0,407378,17542,424920,57339,0,0,57339,5248,,0,5248,4575,0,0,4575,9319,0,0,9319,386,,0,386,8279,,0,8279,,,,,,,,,85146,0,0,85146,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,85146,0,0,85146,8515,0,0,8515,76632,0,0,76632,2084,,,2084,272,,,272,55363,,,55363,57718,,,57718,75,,,75,2765,0,0,2765,20373,0,0,20373,,,,,,,,,,,,,,0,0,76632,0,0,,0,,0,,,,,,,,76632,0
191,GUJARAT,SURAT,,1579,0,1279,1551,381733,0,39507,421240,342,421582,96748,0,8958,105706,10035,,0,10035,28712,0,0,28712,9889,0,632,10520,359,,84,443,596,,3,599,0,0,0,0,0,0,0,0,146339,0,9677,156016,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,146339,0,9677,156016,11591,0,691,12281,134748,0,8986,143735,19560,,176,19736,3078,,0,3078,34100,,2178,36278,56738,,2354,59091,42,,26,42,32630,0,300,32630,78135,0,6509,78135,,,,,,,,,,,,,,0,0,134748,8986,0,,0,,0,,,,,,,,134748,8986
192,GUJARAT,SURENDRANAGAR,,612,0,602,607,444181,0,483426,927607,0,927607,61098,0,43392,104491,225,,107060,107285,7887,0,0,7887,6689,0,4971,11661,85,,51,136,4407,,550,4957,,,,,,,,,80391,0,156025,236417,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,80391,0,156025,236417,4712,0,14271,18982,75680,0,141755,217434,1293,,1568,2860,116,,0,116,37761,,23770,61530,39170,,25338,64507,52,,18,52,1551,0,1881,1551,36252,0,117510,36252,,,,,,,,,,,,,,0,0,75680,141755,0,,0,,0,,,,,,,,75680,141755
193,GUJARAT,TAPI,,1484,0,0,1484,308550,0,0,308550,10022,318572,54150,0,0,54150,3073,,0,3073,11567,0,0,11567,7308,0,0,7308,166,,0,166,951,,0,951,,,,,,,,,77215,0,0,77215,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,77215,0,0,77215,5980,0,0,5980,71235,0,0,71235,510,,,510,61,,,61,25850,,,25850,26421,,,26421,37,,,37,974,0,0,974,44350,0,0,44350,,,,,,,,,,,,,,0,0,71235,0,0,,0,,0,,,,,,,,71235,0
194,GUJARAT,VADODARA,,898,0,0,898,406399,0,0,406399,0,406399,62891,0,0,62891,5850,,20772,26622,13759,0,0,13759,16438,0,0,16438,829,,0,829,7574,,0,7574,0,0,0,0,0,0,0,0,107340,0,20772,128112,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,107340,0,20772,128112,5990,0,2077,8067,101350,0,18695,120045,6681,,,6681,2381,,,2381,58365,,,58365,67426,,,67426,67,,,67,7853,0,0,7853,33976,0,18695,33976,,,,,,,,,,,,,,0,0,101350,18695,0,,0,,0,,,,,,,,101350,18695
195,GUJARAT,VALSAD,,2487,0,0,2487,238388,0,0,238388,62509,300897,56361,0,0,56361,594,,0,594,12526,0,0,12526,4435,0,0,4435,183,,11,194,3009,,0,3009,,,,,,,,,77108,0,11,77119,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,77108,0,11,77119,7711,0,1,7712,69397,0,10,69407,4442,,,4442,718,,,718,16558,,,16558,21718,,,21718,31,,,31,5656,0,0,5656,46465,0,10,46465,,,,,,,,,,,,,,0,0,69397,10,0,,0,,0,,,,,,,,69397,10
196,HARYANA,AMBALA,,1066,0,0,1066,150905,0,0,150905,300,151205,27696,0,0,27696,1397,,0,1397,2384,0,0,2384,11271,0,0,11271,274,,,274,26,,,26,,,,,,,,,43048,0,0,43048,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43048,0,0,43048,4305,0,0,4305,38743,0,0,38743,7009,,,7009,7575,,,7575,35844,,,35844,50427,,,50427,130,,,130,7009,0,0,7009,730,0,0,730,,,,,,,31,0,0,,,,,0,0,38743,0,0,,0,,0,,,,,,,,38743,0
197,HARYANA,BHIWANI,,426,0,0,347,267495,0,61200,328695,1032,329727,17417,0,0,17417,3600,,0,3600,9006,0,0,9006,13290,0,0,13290,115,,,115,0,,,0,,,,,,,,,43428,0,0,43428,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43428,0,0,43428,4343,0,0,4343,39085,0,0,39085,2048,,0,2048,1993,,0,1993,39303,,14219,53523,43344,,14219,57563,111,,0,111,2048,0,0,2048,7146,0,0,7146,,,,,,,2051,0,0,,,,,0,0,39085,0,0,,0,,0,,,,,,,,39085,0
198,HARYANA,CHARKHI DADRI,,434,0,0,425,134336,0,2825,137161,189,137350,9657,0,0,9657,179,,0,179,1733,0,0,1733,7303,0,0,7303,268,,,268,0,,,0,,,,,,,,,19140,0,0,19140,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19140,0,0,19140,1721,0,0,1721,17419,0,0,17419,1254,,0,1254,28,,0,28,23034,,1868,24902,24315,,1868,26183,140,,0,140,1268,0,0,1268,3851,0,0,3851,,,,,,,9791,0,0,,,,,0,0,17419,0,0,,0,,0,,,,,,,,17419,0
199,HARYANA,FARIDABAD,,683,0,0,602,57725,0,7836,65561,8717,74278,7348,0,0,7348,758,,,758,1875,0,0,1875,4601,0,0,4601,76,,,76,295,,,295,0,0,0,0,0,0,0,0,14952,0,0,14952,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14952,0,0,14952,1310,0,0,1310,13642,0,0,13642,4450,,0,4450,5160,,0,5160,14316,,998,15314,23925,,998,24924,175,,0,175,4503,0,0,4503,432,0,0,432,,,,,,,0,0,0,,,,,0,0,13642,0,0,,0,,0,,,,,,,,13642,0
200,HARYANA,FATEHABAD,,298,0,0,298,251850,0,662,252512,0,252512,15079,0,0,15079,7480,,,7480,8987,0,0,8987,33836,0,0,33836,334,,,334,89,,,89,,,,,,,,,65804,0,0,65804,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65804,0,0,65804,6580,0,0,6580,59224,0,0,59224,2002,,0,2002,98,,0,98,103258,,0,103258,105359,,0,105359,178,,0,178,2002,0,0,2002,954,0,0,954,,,,,,,4700,0,0,,,,,0,0,59224,0,0,,0,,0,,,,,,,,59224,0
201,HARYANA,GURGAON,,565,0,0,559,121113,0,1133,122246,3789,126035,12774,0,0,12774,228,,0,228,2640,0,0,2640,6867,0,0,6867,204,,,204,2373,0,,2373,16,0,0,16,0,0,0,0,25102,0,0,25102,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25102,0,0,25102,2510,0,0,2510,22591,0,0,22591,5192,,0,5192,17143,,0,17143,21628,,0,21628,43962,,0,43962,195,,0,195,5192,0,0,5192,0,0,0,0,,,,,,,0,0,0,,,,,0,0,22591,0,0,,0,,0,,,,,,,,22591,0
202,HARYANA,HISAR,,476,0,0,476,406838,0,689,407527,0,407527,36242,0,0,36242,4236,,0,4236,15182,0,0,15182,14960,0,0,14960,1133,,,1133,0,,,0,,,,,,,,,71752,0,0,71752,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71752,0,0,71752,5666,0,0,5666,66086,0,0,66086,366,,0,366,230,,0,230,47456,,3617,51073,48052,,3617,51669,73,,0,73,366,0,0,366,24897,0,0,24897,,,,,,,0,0,0,,,,,0,0,66086,0,0,,0,,0,,,,,,,,66086,0
203,HARYANA,JHAJJAR,,584,0,0,464,153660,0,39805,193465,0,193465,17007,0,0,17007,4029,,0,4029,20402,0,0,20402,6978,0,0,6978,857,,,857,489,0,0,489,,,,,,,,,49764,0,0,49764,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49764,0,0,49764,4075,0,0,4075,45688,0,0,45688,451,,0,451,115,,0,115,22096,,702,22798,22661,,702,23363,50,,0,50,451,0,0,451,23027,0,0,23027,,,,,,,30040,0,0,,,,,0,0,45688,0,0,,0,,0,,,,,,,,45688,0
204,HARYANA,JIND,,439,0,0,396,247943,0,27149,275091,0,275091,19508,0,0,19508,7891,,0,7891,22216,0,0,22216,24377,0,0,24377,1031,,,1031,804,,,804,,,,,,,,,75827,0,0,75827,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75827,0,0,75827,7583,0,0,7583,68244,0,0,68244,1475,,0,1475,810,,0,810,77049,,10800,87849,79334,,10800,90134,116,,0,116,2557,0,0,2557,3754,0,0,3754,,,,,,,9548,0,0,,,,,0,0,68244,0,0,,0,,0,,,,,,,,68244,0
205,HARYANA,KAITHAL,,493,0,0,484,222872,0,4542,227414,0,227414,18591,0,0,18591,155,,0,155,2368,0,0,2368,24834,0,0,24834,542,,,542,0,,,0,,,,,,,,,46490,0,0,46490,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46490,0,0,46490,4649,0,0,4649,41841,0,0,41841,3401,,0,3401,634,,0,634,78374,,0,78374,82409,,0,82409,197,,0,197,3893,0,0,3893,0,0,0,0,,,,,,,0,0,0,,,,,0,0,41841,0,54579,,2902918,,2957498,,,,,,,,41841,0
206,HARYANA,KARNAL,,650,0,0,649,246866,0,186,247052,0,247052,32752,0,0,32752,20768,,0,20768,1380,0,0,1380,62301,0,0,62301,505,,,505,0,0,0,0,,,,,,,,,117707,0,0,117707,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117707,0,0,117707,11771,0,0,11771,105936,0,0,105936,8227,,0,8227,3292,,0,3292,172317,,0,172317,183837,,0,183837,174,,0,174,8227,0,0,8227,0,0,0,0,,,,,,,0,0,0,,,,,0,0,105936,0,95687,,3660027,,3755714,,,,,,,,105936,0
207,HARYANA,KURUKSHETRA,,624,0,0,624,168420,0,0,168420,0,168420,19521,0,0,19521,72,,0,72,361,0,0,361,21479,0,0,21479,391,,,391,0,,,0,,,,,,,,,41824,0,0,41824,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41824,0,0,41824,3973,0,0,3973,37851,0,0,37851,4220,,,4220,12576,,,12576,68571,,,68571,85367,,,85367,226,,,226,4220,0,0,4220,0,0,0,0,,,,,,,0,0,0,,,,,0,0,37851,0,0,,0,,0,,,,,,,,37851,0
208,HARYANA,MAHENDRAGARH,,339,0,0,333,188542,0,3246,191788,2295,194083,10183,0,0,10183,542,,0,542,3830,0,0,3830,7028,0,0,7028,224,,,224,200,0,,200,,,,,,,,,22007,0,0,22007,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22007,0,0,22007,2201,0,0,2201,19806,0,0,19806,4977,,0,4977,31,,0,31,26059,,0,26059,31067,,0,31067,157,,0,157,4977,0,0,4977,0,0,0,0,,,,,,,0,0,0,,,,,0,0,19806,0,0,,0,,0,,,,,,,,19806,0
209,HARYANA,MEWAT,,538,0,0,435,110702,0,26204,136906,13326,150232,9519,0,0,9519,1690,,0,1690,1754,0,0,1754,3326,0,0,3326,1519,,,1519,1467,0,,1467,,,,,,,,,19277,0,0,19277,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19277,0,0,19277,1860,0,0,1860,17417,0,0,17417,2079,,0,2079,24,,0,24,10492,,3715,14207,12595,,3715,16310,72,,0,72,2079,0,0,2079,5454,0,0,5454,,,,,,,9532,0,0,,,,,0,0,17417,0,0,,0,,0,,,,,,,,17417,0
210,HARYANA,PALWAL,,500,0,0,442,120020,0,15806,135826,129,135955,10652,0,0,10652,13146,,0,13146,9102,0,0,9102,10703,0,0,10703,500,,,500,122,,,122,,,,,,,,,44226,0,0,44226,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44226,0,0,44226,3838,0,0,3838,40387,0,0,40387,2283,,0,2283,733,,0,733,34137,,0,34137,37152,,0,37152,92,,0,92,2283,0,0,2283,7188,0,0,7188,,,,,,,5885,0,0,,,,,0,0,40387,0,0,,2200560,,2200560,,,,,,,,40387,0
211,HARYANA,PANCHKULA,,1379,0,0,1379,50672,0,0,50672,37615,88287,12273,0,0,12273,0,,0,0,0,0,0,0,2258,0,0,2258,51,,,51,0,,,0,,,,,,,,,14582,0,0,14582,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14582,0,0,14582,1136,0,0,1136,13446,0,0,13446,1143,,,1143,90,,,90,7111,,,7111,8345,,,8345,62,,,62,1143,0,0,1143,5101,0,0,5101,,,,,,,3,0,0,,,,,0,0,13446,0,0,,0,,0,,,,,,,,13446,0
212,HARYANA,PANIPAT,,481,0,0,479,129637,0,636,130273,0,130273,12876,0,0,12876,2260,,,2260,2111,0,0,2111,34966,0,0,34966,336,,,336,74,,,74,,,,,,,,,52622,0,0,52622,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52622,0,0,52622,5262,0,0,5262,47360,0,0,47360,2501,,0,2501,2016,,0,2016,98651,,1605,100256,103169,,1605,104774,218,,0,218,2501,0,0,2501,0,0,0,0,,,,,,,0,0,0,,,,,0,0,47360,0,0,,0,,0,,,,,,,,47360,0
213,HARYANA,REWARI,,550,0,0,542,144018,0,2150,146168,4720,150888,13430,0,0,13430,413,,0,413,5326,0,0,5326,9180,0,0,9180,284,,,284,181,0,,181,,,,,,,,,28813,0,0,28813,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28813,0,0,28813,2330,0,0,2330,26483,0,0,26483,2225,,0,2225,1452,,0,1452,31591,,110,31701,35268,,110,35378,133,,0,133,2225,0,0,2225,147,0,0,147,,,,,,,0,0,0,,,,,0,0,26483,0,0,,0,,0,,,,,,,,26483,0
214,HARYANA,ROHTAK,,495,0,0,446,150389,0,16518,166907,0,166907,15523,0,0,15523,2967,,0,2967,10456,0,0,10456,4902,0,0,4902,527,,,527,2184,,,2184,,,,,,,,,36559,0,0,36559,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36559,0,0,36559,3656,0,0,3656,32903,0,0,32903,554,,0,554,166,,0,166,15335,,6569,21904,16055,,6569,22623,49,,0,49,554,0,0,554,16848,0,0,16848,,,,,,,20024,0,0,,,,,0,0,32903,0,0,,0,,0,,,,,,,,32903,0
215,HARYANA,SIRSA,,344,0,0,284,352100,0,74893,426993,0,426993,22114,0,0,22114,2404,,0,2404,11625,0,0,11625,29899,0,0,29899,532,,,532,12,,,12,,,,,,,,,66585,0,0,66585,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66585,0,0,66585,5711,0,0,5711,60875,0,0,60875,2346,,0,2346,266,,0,266,94616,,54049,148665,97229,,54049,151278,160,,0,160,2346,0,0,2346,3040,0,0,3040,,,,,,,2607,0,0,,,,,0,0,60875,0,0,,0,,0,,,,,,,,60875,0
216,HARYANA,SONIPAT,,488,0,0,452,199641,0,16081,215722,0,215722,19256,0,0,19256,7558,,0,7558,23487,0,0,23487,18065,0,0,18065,688,,,688,39,,,39,,,,,,,,,69093,0,0,69093,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69093,0,0,69093,6909,0,0,6909,62183,0,0,62183,8951,,0,8951,939,,0,939,57721,,1760,59481,67612,,1760,69371,109,,0,109,8951,0,0,8951,5918,0,0,5918,,,,,,,6357,0,0,,,,,0,0,62183,0,0,,0,,0,,,,,,,,62183,0
217,HARYANA,YAMUNA NAGAR,,901,0,0,901,143277,0,0,143277,28500,171777,24866,0,0,24866,11768,,0,11768,2150,0,0,2150,19768,0,0,19768,225,,,225,0,,,0,,,,,,,,,58778,0,0,58778,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58778,0,0,58778,5878,0,0,5878,52900,0,0,52900,5073,,,5073,2340,,,2340,63044,,,63044,70457,,,70457,133,,,133,5073,0,0,5073,2761,0,0,2761,,,,,,,34,0,0,,,,,0,0,52900,0,0,,0,,0,,,,,,,,52900,0
218,HIMACHAL PRADESH,BLS,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
219,HIMACHAL PRADESH,CHM,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
220,HIMACHAL PRADESH,HMP,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
221,HIMACHAL PRADESH,KIN,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
222,HIMACHAL PRADESH,KNG,,0,2020,0,2020,0,151868,0,151868,0,151868,,38542,,38542,,0,,,,15987,,15987,,2074,,2074,,1,,1,,0,,0,,,,,,,,,,56604,,56604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56604,,56604,,5660,,5660,,50944,,50944,,5830,,5830,,41,,41,,6551,,6551,,12423,,12423,,24,,24,,5830,,5830,,38521,,38521,,,,,,,,,,,,,,0,,50944,,,,,,,,,,,,,,50944,0
223,HIMACHAL PRADESH,KUL,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
224,HIMACHAL PRADESH,LAS,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
225,HIMACHAL PRADESH,MND,,0,1507,0,1507,0,15960,0,15960,0,15960,,3788,,3788,,,,,,3847,,3847,,100,,100,,,,,,,,,,,,,,,,,,7734,,7734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7734,,7734,,773,,773,,6961,,6961,,962,,962,,0,,0,,315,,315,,1277,,1277,,18,,18,,962,,962,,5684,,5684,,,,,,,,,,,,,,0,,6961,,,,,,,,,,,,,,6961,0
226,HIMACHAL PRADESH,SHM,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
227,HIMACHAL PRADESH,SLN,,0,1366,0,1366,0,32566,0,32566,0,32566,,7237,,7237,,,,,,929,,929,,865,,865,,24,,24,,6847,,6847,,,,,,,,,,15903,,15903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15903,,15903,,1590,,1590,,14312,,14312,,1251,,1251,,5953,,5953,,2731,,2731,,9935,,9935,,69,,69,,1251,,1251,,4377,,4377,,,,,,,,,,,,,,0,,14312,,,,,,,,,,,,,,14312,0
228,HIMACHAL PRADESH,SRM,,0,1618,0,1618,0,35259,0,35259,0,35259,,10183,,10183,,0,,,,0,,0,,249,,249,,0,,0,,0,,0,,,,,,,,,,10432,,10432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10432,,10432,,948,,948,,9484,,9484,,1127,,1127,,544,,544,,808,,808,,2479,,2479,,26,,26,,1127,,1127,,7005,,7005,,,,,,,,,,,,,,0,,9484,,,,,,,,,,,,,,9484,0
229,HIMACHAL PRADESH,UNA,,0,1111,0,1111,0,114477,0,114477,0,114477,,14860,,14860,,0,,,,1319,,1319,,2827,,2827,,63,,63,,2567,,2567,,,,,,,,,,21637,,21637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21637,,21637,,2164,,2164,,19473,,19473,,3519,,3519,,166,,166,,8992,,8992,,12678,,12678,,65,,65,,3519,,3519,,6796,,6796,,,,,,,,,,,,,,0,,19473,,,,,,,,,,,,,,19473,0
230,JAMMU AND KASHMIR,Anantnag,,967,967,0,967,27940,32546,0,60487,31902,92389,4757,5541,0,10299,0,,0,0,345,452,0,797,0,0,0,0,,,,,,,,,,,,,,,,,5102,5993,0,11095,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,5102,5993,0,11095,510,599,0,1110,4592,5394,0,9986,652,1308,,1960,0,38,,38,168,201,,369,821,1546,,2367,18,29,,24,652,1308,0,1960,3771,3847,0,7619,,,,,,,,,,,,,,119126,0,129111,0,0,,0,,0,,,,,,,,129111,0
231,JAMMU AND KASHMIR,Bandipora,,0,774,0,774,0,33937,0,33937,17446,51383,0,4641,0,4641,0,,0,0,102,0,0,102,0,0,0,0,,,,,,,,,,,,,,,,,102,4641,0,4743,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,102,4641,0,4743,7,464,0,471,95,4177,0,4272,,661,,661,,1,,1,,11,,11,,673,,673,,16,,16,0,661,0,661,95,3504,0,3599,,,,,,,,,,,,,,87381,0,91653,0,0,,0,,0,,,,,,,,91653,0
232,JAMMU AND KASHMIR,Baramulla,,0,921,0,921,0,57627,0,57627,64043,121670,0,9279,0,9279,0,,0,0,0,1649,0,1649,0,0,0,0,,,,,,,,,,,,,,,,,0,10928,0,10928,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,10928,0,10928,0,1093,0,1093,0,9835,0,9835,,1846,,1846,,5,,5,,364,,364,,2216,,2216,,23,,23,0,1846,0,1846,0,7619,0,7619,,,,,,,,,,,,,,146062,0,155897,0,0,,0,,0,,,,,,,,155897,0
233,JAMMU AND KASHMIR,Barmulla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
